,model,feature,sample,acc,prop
2,LR,loan_amnt,20004,96.39999999999999,52.300000000000004
3,LR,loan_amnt,20004,96.39999999999999,52.300000000000004
4,LR,loan_amnt,20004,96.39999999999999,52.300000000000004
5,LR,loan_amnt,20004,96.39999999999999,52.300000000000004
6,LR,loan_amnt,20004,96.45,52.349999999999994
7,LR,loan_amnt,20004,96.45,52.349999999999994
8,LR,loan_amnt,20004,96.35000000000001,52.449999999999996
9,LR,loan_amnt,20004,96.35000000000001,52.449999999999996
10,LR,loan_amnt,20004,96.35000000000001,52.449999999999996
0,RFC,int_rate,20000,54.949999999999996,11.5
1,RFC,int_rate,20000,56.39999999999999,14.85
2,RFC,int_rate,20000,58.550000000000004,15.4
3,RFC,int_rate,20000,62.050000000000004,18.9
4,RFC,int_rate,20000,61.5,17.65
5,RFC,int_rate,20000,84.5,44.85
6,RFC,int_rate,20000,64.4,60.45
7,RFC,int_rate,20000,61.9,64.85
8,RFC,int_rate,20000,61.1,65.95
9,RFC,int_rate,20000,61.25000000000001,64.4
10,RFC,int_rate,20000,61.7,64.35
0,GBC,int_rate,20000,51.05,4.8
1,GBC,int_rate,20000,49.0,8.649999999999999
2,GBC,int_rate,20000,54.449999999999996,5.800000000000001
3,GBC,int_rate,20000,50.8,10.549999999999999
4,GBC,int_rate,20000,55.45,14.2
5,GBC,int_rate,20000,96.65,50.2
6,GBC,int_rate,20000,54.949999999999996,51.1
7,GBC,int_rate,20000,50.449999999999996,51.5
8,GBC,int_rate,20000,54.6,59.85
9,GBC,int_rate,20000,48.15,56.699999999999996
10,GBC,int_rate,20000,55.55,66.8
0,LR,int_rate,20000,51.15,0.0
1,LR,int_rate,20000,51.15,0.0
2,LR,int_rate,20000,51.15,0.0
3,LR,int_rate,20000,51.15,0.0
4,LR,int_rate,20000,51.7,0.65
5,LR,int_rate,20000,96.15,50.8
6,LR,int_rate,20000,49.65,99.2
7,LR,int_rate,20000,48.85,100.0
8,LR,int_rate,20000,48.85,100.0
9,LR,int_rate,20000,48.85,100.0
10,LR,int_rate,20000,48.85,100.0
0,RFC,int_rate,20001,54.05,8.9
1,RFC,int_rate,20001,55.2,11.15
2,RFC,int_rate,20001,54.85,12.4
3,RFC,int_rate,20001,58.199999999999996,15.049999999999999
4,RFC,int_rate,20001,57.599999999999994,17.65
5,RFC,int_rate,20001,82.89999999999999,46.650000000000006
6,RFC,int_rate,20001,66.60000000000001,61.25000000000001
7,RFC,int_rate,20001,63.7,66.05
8,RFC,int_rate,20001,64.05,66.7
9,RFC,int_rate,20001,62.45,66.8
10,RFC,int_rate,20001,63.05,65.9
0,GBC,int_rate,20001,48.8,4.65
1,GBC,int_rate,20001,46.45,5.7
2,GBC,int_rate,20001,51.6,6.75
3,GBC,int_rate,20001,51.7,11.05
