model,sample_size,Term: 36 months,Term: 60 months,Loan_Grade:A,Loan_Grade:B,Loan_Grade:C,Loan_Grade:D,Loan_Grade:E,Loan_Grade:F,Loan_Grade:G,Loan_SubGrade:A1,Loan_SubGrade:A2,Loan_SubGrade:A3,Loan_SubGrade:A4,Loan_SubGrade:A5,Loan_SubGrade:B1,Loan_SubGrade:B2,Loan_SubGrade:B3,Loan_SubGrade:B4,Loan_SubGrade:B5,Loan_SubGrade:C1,Loan_SubGrade:C2,Loan_SubGrade:C3,Loan_SubGrade:C4,Loan_SubGrade:C5,Loan_SubGrade:D1,Loan_SubGrade:D2,Loan_SubGrade:D3,Loan_SubGrade:D4,Loan_SubGrade:D5,Loan_SubGrade:E1,Loan_SubGrade:E2,Loan_SubGrade:E3,Loan_SubGrade:E4,Loan_SubGrade:E5,Loan_SubGrade:F1,Loan_SubGrade:F2,Loan_SubGrade:F3,Loan_SubGrade:F4,Loan_SubGrade:F5,Loan_SubGrade:G1,Loan_SubGrade:G2,Loan_SubGrade:G3,Loan_SubGrade:G4,Loan_SubGrade:1 year,Employment_Length:10+ years,Employment_Length:2 years,Employment_Length:3 years,Employment_Length:4 years,Employment_Length:5 years,Employment_Length:6 years,Employment_Length:7 years,Employment_Length:8 years,Employment_Length:9 years,Employment_Length:< 1 year,Employment_Length:unknown,Employment_Length:ANY,Home_Ownership:MORTGAGE,Home_Ownership:OWN,Home_Ownership:RENT,loan_amnt,int_rate,installment,annual_inc,inq_last_6mths,delinq_2yrs,mths_since_last_delinq,open_acc,total_acc,mths_since_last_major_derog,dti,revol_bal,tot_cur_bal,open_il_24m,chargeoff_within_12_mths,delinq_amnt
RFC,5000,0.0,0.0,0.21819153987543427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05174781087504485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09600933852104147,0.0,0.0,0.0,0.0,0.0,0.07762313509255862,0.0,0.06016322478609569,0.0,0.0,0.0,0.053069949067899455,0.02708101417628113,0.0,0.005798422957446196,0.007392591401153253,0.0,0.030053282663625946,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.0,0.04403840870352716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027571171900946295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006739716674305209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022313021630503433,0.0,0.0,0.051613433670049974,0.0236869036380858,0.006928024790998704,0.020183694411833597,0.0,0.051153272930452576,0.0,0.0,0.03968909534161716,0.014807185376413401,0.028190300777273525,0.003905396073083822,0.027460498052461674,0.03695396683085783,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.022567633573103263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015615439671222475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018626056733543672,0.061655419826563695,0.18866771752657727,0.02997350748081523,0.03435152856993348,0.0,0.0,0.008544775739618066,0.00997250583432771,0.0,0.012880554636866909,0.008900875845048034,0.011442468552580742,0.022868710190232122,0.0,0.0,0.0
RFC,5000,0.02649358914530789,0.0,0.0,0.0,0.0,0.04744716223808873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07607911895389044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05597882588204926,0.0,0.0,0.0,0.03861156613768413,0.02976235764309755,0.008678058298069974,0.0,0.0764090405397826,0.0,0.0,0.008977397355481365,0.03216862652015437,0.009895535109550796,0.032826736954462,0.025009087671553742,0.014377850152546223,0.013959252296626534,0.0,0.0,0.0
RFC,5000,0.0,0.0,0.2250372748339622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042071556748157574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017305555381245258,0.0,0.0,0.0,0.0,0.05948518314019946,0.0,0.0,0.007878657740090958,0.04189575848481608,0.06882155604277938,0.01436124296994079,0.039408632137560407,0.0,0.0,0.0,0.0,0.0,0.005205988542583306,0.02018036342569196,0.0,0.02164529624815692,0.0,0.0
RFC,5000,0.003377068815709469,0.008326688828481005,0.0,0.061032569416975296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009200384350346619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018222304388339244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13685659077861256,0.0,0.0,0.05103695551857074,0.05980401673443425,0.03136727689814142,0.046181559641382146,0.0,0.0,0.0,0.0,0.037432969705498656,0.0,0.044093893108623064,0.022189385627300884,0.05219777800408398,0.04014240067388691,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.0,0.0,0.04823247024207516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07141669067629729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067592990076283,0.0,0.05990862100783778,0.0,0.0,0.014089830928910037,0.008410329399605357,0.008803618327879542,0.111862806965368,0.0,0.0,0.008969240164249284,0.013984480581328784,0.007744653207505434,0.020902459487853603,0.11983502150139791,0.007563069453868421,0.010836296941341916,0.0,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.0,0.02075109643466437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009312049514585493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08522864512541406,0.0,0.0,0.0,0.0252240867374278,0.00497179542588894,0.022279991878260276,0.005106018047525169,0.012422315266995887,0.004374840534505596,0.007559495870762815,0.029083702755488366,0.012857972051146565,0.0547461040623066,0.021730580479337114,0.041884781365924766,0.029456506764641607,0.026634322640675022,0.026640916868365193,0.0,0.0
RFC,5000,0.0,0.0,0.12050483487067266,0.0,0.0,0.0,0.0,0.0,0.0,0.024345302670648855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009091410756928597,0.1067173214728179,0.16382230748720825,0.11216906623811042,0.04413186646743483,0.0,0.0,0.0,0.012908968827069406,0.005730308774615667,0.0,0.0,0.01799942594430859,0.029406793885669025,0.0,0.0,0.0
RFC,5000,0.0,0.0,0.16379400142014128,0.0,0.0,0.0,0.0,0.0,0.0,0.10102253102732205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029940756816207517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014595646476612186,0.010368521378931255,0.013126167532421061,0.013013408903784364,0.019008056918895594,0.0,0.0,0.0,0.015483919540820703,0.10151805919191867,0.0,0.01600409863388404,0.0026268174498666674,0.016080195560255736,0.009416328183990227,0.0,0.0
