,model,size,features,abs_shap
6,LR,5000,Loan_Grade:E,42.64081459019553
7,LR,5000,Loan_Grade:F,9.898312384919594
8,LR,5000,Loan_Grade:G,1.4785170776874281
9,LR,5000,Loan_SubGrade:A1,8.776164510040681
10,LR,5000,Loan_SubGrade:A2,8.994635040213337
11,LR,5000,Loan_SubGrade:A3,6.754720683374079
12,LR,5000,Loan_SubGrade:A4,0.04549712909912216
13,LR,5000,Loan_SubGrade:A5,7.866475475614371
14,LR,5000,Loan_SubGrade:B1,16.31240484936063
15,LR,5000,Loan_SubGrade:B2,14.239795030024585
16,LR,5000,Loan_SubGrade:B3,6.063222086713689
17,LR,5000,Loan_SubGrade:B4,0.042879933966496815
18,LR,5000,Loan_SubGrade:B5,13.942157662396758
19,LR,5000,Loan_SubGrade:C1,21.48385895587917
20,LR,5000,Loan_SubGrade:C2,13.25023414378461
21,LR,5000,Loan_SubGrade:C3,0.008973302696548557
22,LR,5000,Loan_SubGrade:C4,23.73840696547436
23,LR,5000,Loan_SubGrade:C5,26.066337065784055
24,LR,5000,Loan_SubGrade:D1,14.262252866794418
25,LR,5000,Loan_SubGrade:D2,11.173979807535554
26,LR,5000,Loan_SubGrade:D3,9.26568327838849
27,LR,5000,Loan_SubGrade:D4,12.060143866071522
28,LR,5000,Loan_SubGrade:D5,17.342008042960284
29,LR,5000,Loan_SubGrade:E1,6.874227512746554
30,LR,5000,Loan_SubGrade:E2,0.5752957853043135
31,LR,5000,Loan_SubGrade:E3,6.105007443569541
32,LR,5000,Loan_SubGrade:E4,4.7851219696093565
33,LR,5000,Loan_SubGrade:E5,6.800038698144688
34,LR,5000,Loan_SubGrade:F1,1.2490758449771262
35,LR,5000,Loan_SubGrade:F2,0.0
36,LR,5000,Loan_SubGrade:F3,0.3845681719552137
37,LR,5000,Loan_SubGrade:F4,0.560649923474663
38,LR,5000,Loan_SubGrade:F5,0.0
39,LR,5000,Loan_SubGrade:G1,0.16439218442575576
40,LR,5000,Loan_SubGrade:G2,0.0
41,LR,5000,Loan_SubGrade:G3,0.0
42,LR,5000,Loan_SubGrade:G4,0.0
43,LR,5000,Loan_SubGrade:1 year,0.10947732065035962
44,LR,5000,Employment_Length:10+ years,0.6322940270451349
45,LR,5000,Employment_Length:2 years,0.28786460363706445
46,LR,5000,Employment_Length:3 years,0.6443868915017317
47,LR,5000,Employment_Length:4 years,0.2445314349547839
48,LR,5000,Employment_Length:5 years,0.11846941701068427
49,LR,5000,Employment_Length:6 years,0.23545044032028548
50,LR,5000,Employment_Length:7 years,0.07036535592067578
51,LR,5000,Employment_Length:8 years,0.2475816971576896
52,LR,5000,Employment_Length:9 years,0.08574763451524796
53,LR,5000,Employment_Length:< 1 year,1.1893471638659114
54,LR,5000,Employment_Length:unknown,5.3517501284627365
55,LR,5000,Employment_Length:ANY,0.0
56,LR,5000,Home_Ownership:MORTGAGE,76.91612147142268
57,LR,5000,Home_Ownership:OWN,31.89614699940725
58,LR,5000,Home_Ownership:RENT,89.00546539154361
59,LR,5000,loan_amnt,3.035513233796141
60,LR,5000,int_rate,429.07560083255265
61,LR,5000,installment,24.065578428832332
62,LR,5000,annual_inc,2.0854195387060783
63,LR,5000,inq_last_6mths,2.985336688954461
64,LR,5000,delinq_2yrs,0.8803429264710676
65,LR,5000,mths_since_last_delinq,0.5610282254945724
66,LR,5000,open_acc,4.071634165472215
67,LR,5000,total_acc,16.15480689165413
68,LR,5000,mths_since_last_major_derog,1.7752757341522538
69,LR,5000,dti,3.3001761292202465
70,LR,5000,revol_bal,2.280740058744042
71,LR,5000,tot_cur_bal,4.265467623883098
72,LR,5000,open_il_24m,4.266082819097134
73,LR,5000,chargeoff_within_12_mths,0.020466257303754676
74,LR,5000,delinq_amnt,0.08145459386057774
0,RFC,10000,Term: 36 months,12.684615056017062
1,RFC,10000,Term: 60 months,13.60255409222788
2,RFC,10000,Loan_Grade:A,71.45705123249567
3,RFC,10000,Loan_Grade:B,27.111162408708783
4,RFC,10000,Loan_Grade:C,13.222610922800728
5,RFC,10000,Loan_Grade:D,41.47840221313342
6,RFC,10000,Loan_Grade:E,4.631416166400601
7,RFC,10000,Loan_Grade:F,2.27185974709413
8,RFC,10000,Loan_Grade:G,0.2679745402314519
9,RFC,10000,Loan_SubGrade:A1,6.135237340716034
10,RFC,10000,Loan_SubGrade:A2,1.3856183959970083
11,RFC,10000,Loan_SubGrade:A3,3.7564761158713385
12,RFC,10000,Loan_SubGrade:A4,4.127530331263759
13,RFC,10000,Loan_SubGrade:A5,2.345823848505256
14,RFC,10000,Loan_SubGrade:B1,5.4883631377230335
15,RFC,10000,Loan_SubGrade:B2,6.217585942761565
16,RFC,10000,Loan_SubGrade:B3,2.802308198027735
17,RFC,10000,Loan_SubGrade:B4,2.9754306896333964
18,RFC,10000,Loan_SubGrade:B5,3.444965710612704
19,RFC,10000,Loan_SubGrade:C1,6.607444922901572
20,RFC,10000,Loan_SubGrade:C2,2.6131544359122185
