,model,feature,sample,acc,prop
3,GBC,int_rate,5000,63.3,19.45
4,GBC,int_rate,5000,56.35,17.2
5,GBC,int_rate,5000,96.25,52.400000000000006
6,GBC,int_rate,5000,66.7,54.35
7,GBC,int_rate,5000,57.4,55.85
8,GBC,int_rate,5000,63.6,54.05
9,GBC,int_rate,5000,70.75,59.099999999999994
10,GBC,int_rate,5000,65.64999999999999,49.8
0,LR,int_rate,5000,49.85,0.0
1,LR,int_rate,5000,49.85,0.0
2,LR,int_rate,5000,49.85,0.0
3,LR,int_rate,5000,49.85,0.0
4,LR,int_rate,5000,52.300000000000004,2.45
5,LR,int_rate,5000,88.3,57.35
6,LR,int_rate,5000,50.3,99.85000000000001
7,LR,int_rate,5000,50.14999999999999,100.0
8,LR,int_rate,5000,50.14999999999999,100.0
9,LR,int_rate,5000,50.14999999999999,100.0
10,LR,int_rate,5000,50.14999999999999,100.0
0,RFC,int_rate,10000,72.8,26.3
1,RFC,int_rate,10000,75.9,30.099999999999998
2,RFC,int_rate,10000,80.30000000000001,33.900000000000006
3,RFC,int_rate,10000,83.75,38.65
4,RFC,int_rate,10000,88.1,42.5
5,RFC,int_rate,10000,94.89999999999999,50.4
6,RFC,int_rate,10000,90.45,53.65
7,RFC,int_rate,10000,90.75,53.349999999999994
8,RFC,int_rate,10000,90.5,54.900000000000006
9,RFC,int_rate,10000,89.95,55.05
10,RFC,int_rate,10000,90.0,55.400000000000006
0,GBC,int_rate,10000,53.0,25.900000000000002
1,GBC,int_rate,10000,53.25,34.35
2,GBC,int_rate,10000,50.5,21.6
3,GBC,int_rate,10000,55.60000000000001,23.5
4,GBC,int_rate,10000,56.599999999999994,23.7
5,GBC,int_rate,10000,96.55,52.949999999999996
6,GBC,int_rate,10000,66.10000000000001,57.4
7,GBC,int_rate,10000,47.5,47.5
8,GBC,int_rate,10000,58.4,58.4
9,GBC,int_rate,10000,57.35,68.55
10,GBC,int_rate,10000,50.74999999999999,61.150000000000006
0,LR,int_rate,10000,49.6,0.0
1,LR,int_rate,10000,49.6,0.0
2,LR,int_rate,10000,49.6,0.0
3,LR,int_rate,10000,49.6,0.0
4,LR,int_rate,10000,50.849999999999994,1.25
5,LR,int_rate,10000,94.0,55.2
6,LR,int_rate,10000,50.449999999999996,99.85000000000001
7,LR,int_rate,10000,50.449999999999996,99.85000000000001
8,LR,int_rate,10000,50.449999999999996,99.85000000000001
9,LR,int_rate,10000,50.449999999999996,99.85000000000001
10,LR,int_rate,10000,50.449999999999996,99.85000000000001
0,RFC,int_rate,20000,66.55,16.150000000000002
1,RFC,int_rate,20000,67.5,17.299999999999997
2,RFC,int_rate,20000,71.1,20.9
3,RFC,int_rate,20000,77.5,27.500000000000004
4,RFC,int_rate,20000,80.5,31.1
5,RFC,int_rate,20000,96.89999999999999,48.3
6,RFC,int_rate,20000,92.10000000000001,52.900000000000006
7,RFC,int_rate,20000,89.4,56.00000000000001
8,RFC,int_rate,20000,88.3,58.199999999999996
9,RFC,int_rate,20000,87.8,58.5
10,RFC,int_rate,20000,87.55,58.35
0,GBC,int_rate,20000,51.949999999999996,2.45
1,GBC,int_rate,20000,49.8,7.8
2,GBC,int_rate,20000,54.6,7.3
3,GBC,int_rate,20000,54.2,9.2
4,GBC,int_rate,20000,53.05,9.049999999999999
5,GBC,int_rate,20000,97.25,51.05
6,GBC,int_rate,20000,54.35,53.55
7,GBC,int_rate,20000,48.6,55.2
8,GBC,int_rate,20000,58.75,61.75000000000001
9,GBC,int_rate,20000,52.55,59.150000000000006
10,GBC,int_rate,20000,59.35,68.05
0,LR,int_rate,20000,51.1,0.0
1,LR,int_rate,20000,51.1,0.0
2,LR,int_rate,20000,51.1,0.0
3,LR,int_rate,20000,51.05,0.05
4,LR,int_rate,20000,51.6,0.7000000000000001
5,LR,int_rate,20000,95.5,52.300000000000004
6,LR,int_rate,20000,49.9,99.0
7,LR,int_rate,20000,48.9,100.0
8,LR,int_rate,20000,48.9,100.0
9,LR,int_rate,20000,48.9,100.0
